No,Nama Aset,Bentuk Pemanfaatan,Peruntukan,Pusat_kota,Visibilitas,Bangunan,Luas,Desa,Kecamatan,Jenis Hak,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Bujur Desimal,Lintang Desimal,Bujur pahlawan,Lintang pahlawan,Jarak pusat kota,Jarak_pusat_kota2
3,,Sewa,Ruko,Pusat,Sedang,Sedang,500,,,HPL,,Geprek Juara,500,111.526403,-7.641749,Sewa - Kabupaten,111.526403,7.641749,111.520149,7.624574,1762,2030.34288741118
20,,Pakai,Ruko,Pusat,Strategis,Sedang,421,KEJURON,TAMAN,PAKAI,Jl. Jend Sudirman no.77,Dinas pasar,421,31444,37885,Sewa - Kota,111.524066666667,7.63141666666667,111.520149,7.624574,842,874.840951520629
85,,Pakai,Kantor,Pinggir,Strategis,Bagus,410,MOJOREJO,TAMAN,PAKAI,Jl. Setia Budi No. 62 - 13,Mojorejo,410,32041,37959,,111.534016666667,7.63265,111.520149,7.624574,1938,1772.65928106385
50,,Pakai,Ruko,Pusat,Sedang,Sedang,380,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Pelitatama,Oro-oro Ombo,380,32117,37327,,111.535283333333,7.62211666666667,111.520149,7.624574,2179,1690.21844975026
83,,Sewa,Ruko,Pusat,Sedang,Sedang,366,ORO ORO OMBO,KARTOHARJO,PAKAI,,DKK,366,32009,37435,,111.533483333333,7.62391666666667,111.520149,7.624574,1926,1471.4176074679
56,,Pakai,Ruko,Pusat,Sedang,Sedang,335,KLEGEN,KARTOHARJO,PAKAI,Jl. Husni Thamrin Gg Sri Gading,Klegen,335,31974,37654,,111.5329,7.62756666666667,111.520149,7.624574,1782,1444.1665415063
,,Sewa,Ruko,Pusat,Strategis,Sedang,311,MADIUN LOR,MANGUHARJO,PAKAI,Jl.Pahlawan no 19,,311,31258,37256,,111.520966666667,7.62093333333333,111.520149,7.624574,1016,414.732403263904
80,,Sewa,Ruko,Pusat,Strategis,Sedang,270,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Candi Sewu,DKK,270,31302,36899,,111.5217,7.61498333333333,111.520149,7.624574,1658,1080.04584504002
86,,Pakai,Kantor,Pinggir,Strategis,Bagus,260,KEJURON,TAMAN,PAKAI,Jl. Kapten Saputro,Kejuron,260,31546,38105,,111.525766666667,7.63508333333333,111.520149,7.624574,1192,1322.46115393569
31,,Sewa,Ruko,Pusat,Sedang,Sedang,255,PANDEAN,TAMAN,HGB,,,255,31942,38652,Pakai PasarKota,111.532366666667,7.6442,111.520149,7.624574,2402,2564.28086012235
