No,Nama Aset,Bentuk Pemanfaatan,Peruntukan,Pusat_kota,Visibilitas,Bangunan,Luas,Desa,Kecamatan,Jenis Hak,Visibilitas_2,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Bujur Desimal,Lintang Desimal,Bujur pahlawan,Lintang pahlawan,Jarak pusat kota,Jarak pusat kota2
91,,Pakai,Sawah,Pinggir,Kurang,Tidak,3865,DEMANGAN,TAMAN,PAKAI,200,Blok Piang Semi,Demangan,3865,30525,40069,,111.50875,7.66781666666667,111.520149,7.624574,4397,4969.7560400365
94,,Pakai,Sawah,Pinggir,Kurang,Tidak,10390,BANJAREJO,TAMAN,PAKAI,4000,,Banjarejo,10390,32306,39444,,111.538433333333,7.6574,111.520149,7.624574,3949,4169.36507898405
95,,Pakai,Sawah,Pinggir,Kurang,Tidak,6650,BANJAREJO,TAMAN,PAKAI,4000,,Banjarejo,6650,32281,39342,,111.538016666667,7.6557,111.520149,7.624574,3772,3982.01457503534
95,,Pakai,Sawah,Pinggir,Kurang,Tidak,6390,BANJAREJO,TAMAN,PAKAI,4000,,Banjarejo,6390,32315,39468,,111.538583333333,7.6578,111.520149,7.624574,3995,4216.29835208409
76,,Pakai,Ruko,Pusat,Sedang,Sedang,599,BANJAREJO,TAMAN,PAKAI,11,,UPTD TAMAN,599,31787,38986,,111.529783333333,7.64976666666667,111.520149,7.624574,2709,2995.7700198746
75,,Sewa,Sawah,Pinggir,Kurang,Tidak,4000,,,HPL,1200,,BUMD,4000,111.52828,-7.644049,Sewa - Kabupaten,111.52828,7.644049,111.520149,7.624574,2090,2343.60606025316
60,,Sewa,Sawah,Pinggir,Kurang,Tidak,2000,,,HPL,1200,,BPKAD,2000,111.654082,-7.545293,Sewa - Kabupaten,111.654082,7.545293,111.520149,7.624574,17770,17194.2560340952
39,,Sewa,Ruko,Pusat,Strategis,Bagus,2000,,,HPL,10,,Ruko,2000,111.515217,-7.624166,Sewa - Kabupaten,111.515217,7.624166,111.520149,7.624574,574,545.454479068778
3,,Sewa,Ruko,Pusat,Strategis,Bagus,500,,,HPL,12,,Geprek Juara,500,111.526403,-7.641749,Sewa - Kabupaten,111.526403,7.641749,111.520149,7.624574,1762,2030.34288741118
2,,Sewa,Kantor,Pinggir,Sedang,Bagus,200,,,HPL,15,,BUMD,200,111.495008,-7.624703,Sewa - Kabupaten,111.495008,7.624703,111.520149,7.624574,2451,2770.86982062738
9,,Sewa,Ruko,Pusat,Strategis,Bagus,200,,,HPL,16,,BPKAD,200,111.512291,-7.633486,Sewa - Kabupaten,111.512291,7.633486,111.520149,7.624574,698,1316.0678054494
37,,Sewa,Ruko,Pusat,Strategis,Bagus,150,,,HPL,17,,BPKAD,150,111.52578,-7.623174,Sewa - Kabupaten,111.52578,7.623174,111.520149,7.624574,1188,639.82999789645
38,,Sewa,Ruko,Pusat,Strategis,Bagus,100,,,HPL,18,,BPKAD,100,111.658034,-7.548136,Sewa - Kabupaten,111.658034,7.548136,111.520149,7.624574,17982,17413.1486718588
10,,Sewa,Ruko,Pusat,Strategis,Bagus,90,,,HPL,19,,,90,,,Sewa - Kota,111,7,111.520149,7.624574,90232,90078.9343951524
40,,Sewa,Ruko,Pusat,Strategis,Bagus,70,,,HPL,20,,Kantor,70,111.661205,-7.548428,Sewa - Kabupaten,111.661205,7.548428,111.520149,7.624574,18269,17703.4619866677
