No,Nama Aset,Bentuk Pemanfaatan,Peruntukan,Pusat_kota,Visibilitas,Bangunan,Luas,Desa,Kecamatan,Jenis Hak,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Bujur Desimal,Lintang Desimal,Bujur alun,Lintang alun,Jarak pusat kota,Jarak jalan utama
53,,Pakai,Ruko,Pusat,Sedang,Sedang,5150,REJOMULYO,KARTOHARJO,PAKAI,Jl. Sadana mulyo,Rejomulyo,5150,"32,429","37,338",,111.540483333333,7.6223,112,8,"2,717",
54,,Pakai,Ruko,Pusat,Sedang,Sedang,9460,REJOMULYO,KARTOHARJO,PAKAI,,Rejomulyo,9460,"32,448","37,324",,111.5408,7.62206666666667,112,8,"2,758",
55,,Pakai,Ruko,Pusat,Sedang,Sedang,8740,REJOMULYO,KARTOHARJO,PAKAI,,Rejomulyo,8740,"32,566","37,368",,111.542766666667,7.6228,112,8,"2,946",
56,,Pakai,Ruko,Pusat,Sedang,Sedang,335,KLEGEN,KARTOHARJO,PAKAI,Jl. Husni Thamrin Gg Sri Gading,Klegen,335,"31,974","37,654",,111.5329,7.62756666666667,112,8,"1,782",
57,,Pakai,Kantor,Pinggir,Sedang,Bagus,1192,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Sumatra No. 22,Bagian perlengkapan,1192,"31,369","37,254",,111.522816666667,7.6209,112,8,"1,126",
58,,Pakai,Ruko,Pusat,Sedang,Sedang,1217,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Sumatra No. 20,Bagian Umum,1217,"31,360","37,246",,111.522666666667,7.62076666666667,112,8,"1,128",
59,,Sewa,Sawah,Pinggir,Kurang,Tidak,5700,JOSENAN,TAMAN,MILIK,Sawah Blok Serandu,Josenan,5700,"30,473","40,297",,111.507883333333,7.67161666666667,112,8,"4,831",
60,,Sewa,Sawah,Pinggir,Kurang,Tidak,2000,,,HPL,,BPKAD,2000,111.654082,-7.545293,Sewa - Kabupaten,111.654082,7.545293,112,8,"17,770",
61,,Pakai,Sawah,Pinggir,Kurang,Tidak,3220,PATIHAN,MANGUHARJO,PAKAI,Blok Sawah,Patihan,3220,"32,214","36,285",,111.5369,7.60475,112,8,"3,497",
62,,Pakai,Sawah,Pinggir,Kurang,Tidak,6271,NGEGONG,MANGUHARJO,PAKAI,Blok Sawah,Manguharjo,6271,"31,041","36,302",,111.51735,7.60503333333333,112,8,"2,675",
63,,Pakai,Sawah,Pinggir,Kurang,Tidak,2630,NGEGONG,MANGUHARJO,PAKAI,Blok Sawah,Manguharjo,2630,"30,863","36,235",,111.514383333333,7.60391666666667,112,8,"2,811",
64,,Pakai,Sawah,Pinggir,Kurang,Tidak,3176,SOGATEN,MANGUHARJO,PAKAI,Blok Sawah,Sogaten,3176,"31,180","36,064",,111.519666666667,7.60106666666667,112,8,"3,131",
