No,Deskripsi,Bentuk_pemanfaatan,Peruntukan,Pusat_kota,Visibilitas,Bangunan,Luas,Desa,Kecamatan,Jenis Hak,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Longitude,Latitude,Bujur alun,Lintang alun,Jarak pusat kota,Jarak jalan utama
25,,Sewa,Perumahan,Sedang,Strategis,Sedang,5055,PANDEAN,TAMAN,HGB,,,5055,31836,38651,Sewa Kota,111.5306,7.64418333333333,112,8,2265,
25,,Sewa,Perumahan,Sedang,Strategis,Sedang,5055,PANDEAN,TAMAN,HGB,,,5055,31836,38651,Sewa Kota,111.5306,7.64418333333333,112,8,2265,
89,,Pakai,Sawah,Pinggir,Kurang,Tidak,4905,JOSENAN,TAMAN,PAKAI,Blok Sawah Kurupati,Patihan,4905,30529,40454,,111.508816666667,7.67423333333333,112,8,5097,
52,,Pakai,Perumahan,Pinggir,Sedang,Sedang,4865,REJOMULYO,KARTOHARJO,PAKAI,Jl. Sedana Mulyo,Rejomulyo,4865,32542,37348,,111.542366666667,7.62246666666667,112,8,2912,
52,,Pakai,Perumahan,Pinggir,Sedang,Sedang,4865,REJOMULYO,KARTOHARJO,PAKAI,Jl. Sedana Mulyo,Rejomulyo,4865,32542,37348,,111.542366666667,7.62246666666667,112,8,2912,
48,,Pakai,Ruko,Pusat,Sedang,Sedang,4135,ORO ORO OMBO,KARTOHARJO,PAKAI,,Oro-oro Ombo,4135,32204,37371,,111.536733333333,7.62285,112,8,2304,
47,,Pakai,Ruko,Pusat,Sedang,Sedang,4105,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Pelitatama,Oro-oro Ombo,4105,32203,37360,,111.536716666667,7.62266666666667,112,8,2308,
75,,Sewa,Sawah,Pinggir,Kurang,Tidak,4000,,,HPL,,BUMD,4000,111.52828,-7.644049,Sewa - Kabupaten,111.52828,7.644049,112,8,2090,
46,,Pakai,Ruko,Pusat,Sedang,Sedang,3987,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Pelitatama,Oro-oro Ombo,3987,32202,37348,,111.5367,7.62246666666667,112,8,2313,
91,,Pakai,Sawah,Pinggir,Kurang,Tidak,3865,DEMANGAN,TAMAN,PAKAI,Blok Piang Semi,Demangan,3865,30525,40069,,111.50875,7.66781666666667,112,8,4397,
49,,Pakai,Ruko,Pusat,Sedang,Sedang,3840,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Pelitatama,Oro-oro Ombo,3840,32111,37338,,111.535183333333,7.6223,112,8,2162,
